template_path,template_name,template_role,owner_app,content_hash,url_name,url_path_pattern,view_callable,http_methods,resolved_template_origin,extends,includes,consumers,related_static_assets,email_or_task_usage,primary_task,audience,auth_required,permission_rule,write_effects,current_api_endpoints,inline_script,upload_download,streaming_or_polling,api_gap,destination_class,destination_reason,target_screen_key,target_action_keys,target_panel_keys,wave,legacy_url_policy,redirect_target,rollback_commit,graph_hash,compatibility_note,unit_tests,api_contract_tests,playwright_uat,task_parity_status,observability_evidence,status,owner,reviewer,last_reviewed_at,exception_expiry,notes
apps/agent_runtime/templates/agent_runtime/_operator_styles.html,agent_runtime/_operator_styles.html,partial_component,agent_runtime,9e1e53b9abdfe23ee287bbbe01710e45a7d7c25ee5dfb555d92f6aae75412771,,,,unknown,apps/agent_runtime/templates/agent_runtime/_operator_styles.html,,,apps/agent_runtime/templates/agent_runtime/operator_proposal_detail.html;apps/agent_runtime/templates/agent_runtime/operator_proposal_list.html;apps/agent_runtime/templates/agent_runtime/operator_task_detail.html;apps/agent_runtime/templates/agent_runtime/operator_task_list.html,,,,authenticated,true,agent_runtime.backend_authorization,none_detected,,false,false,false,review_required,A,适合通过既有或补齐后的 JSON API 迁入 TUI。,ai-ops.terminal,,,M3,remove_with_consumer,,,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,,,,not_started,,backlog,agent_runtime,Codex M0 inventory review,2026-07-26,,
apps/agent_runtime/templates/agent_runtime/_summary_cards.html,agent_runtime/_summary_cards.html,partial_component,agent_runtime,6328e8e3c2444c8d90ffe314ede5739aa77d57e2fe0bff109b6cc10d87dc3d88,,,,unknown,apps/agent_runtime/templates/agent_runtime/_summary_cards.html,,,apps/agent_runtime/templates/agent_runtime/operator_proposal_detail.html;apps/agent_runtime/templates/agent_runtime/operator_proposal_list.html;apps/agent_runtime/templates/agent_runtime/operator_task_detail.html;apps/agent_runtime/templates/agent_runtime/operator_task_list.html,,,,authenticated,true,agent_runtime.backend_authorization,none_detected,,false,false,false,review_required,A,适合通过既有或补齐后的 JSON API 迁入 TUI。,ai-ops.terminal,,,M3,remove_with_consumer,,,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,,,,not_started,,backlog,agent_runtime,Codex M0 inventory review,2026-07-26,,
apps/agent_runtime/templates/agent_runtime/operator_proposal_detail.html,agent_runtime/operator_proposal_detail.html,route_page,agent_runtime,f2ad27e15be2196b251fde5b9825bde584b14fc6c2c929780bfdffba2a912baa,agent_runtime_pages:proposal_detail,/settings/agent-runtime/proposals/<int:proposal_id>/,apps.agent_runtime.interface.page_views.operator_proposal_detail_view,GET;POST,apps/agent_runtime/templates/agent_runtime/operator_proposal_detail.html,base.html,agent_runtime/_operator_styles.html;agent_runtime/_summary_cards.html;components/classic_tui_migration_banner.html,,,,调查提案证据并按状态提交、批准、拒绝或执行,operator,true,staff_or_operator,confirmed_audited,,false,false,false,closed,A,新增 operator-only typed detail API；四个状态机动作复用既有 owner API并保留权限、guardrail、确认和审计。,ai-ops.terminal,agent-runtime.operator-proposal-detail;agent-runtime.operator-submit-proposal;agent-runtime.operator-approve-proposal;agent-runtime.operator-reject-proposal;agent-runtime.operator-execute-proposal,,M3-agent-runtime-operator-w38,redirect_to_tui,/tui/?screen=ai-ops.terminal&action=agent-runtime.operator-proposal-detail,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_agent_runtime_operator_workflows_follow_operator_group_visibility,tests/component/test_agent_runtime_m4_dashboard.py,live-server lifecycle/guardrail/error UAT pending,complete,instrumented_awaiting_14d_production_samples,migrated,agent_runtime,Codex M3 review,2026-07-26,,apps/agent_runtime/interface/page_views.py:134
apps/agent_runtime/templates/agent_runtime/operator_proposal_list.html,agent_runtime/operator_proposal_list.html,route_page,agent_runtime,be2bdff653abd3746dbaa7481a8c04d0db509f7a9ba139569ef497aab3285094,agent_runtime_pages:proposal_list,/settings/agent-runtime/proposals/,apps.agent_runtime.interface.page_views.operator_proposal_list_view,GET,apps/agent_runtime/templates/agent_runtime/operator_proposal_list.html,base.html,agent_runtime/_operator_styles.html;agent_runtime/_summary_cards.html;components/classic_tui_migration_banner.html,,,,按状态、审批状态、风险与搜索词处理提案队列,operator,true,staff_or_operator,none_detected,/api/agent-runtime/proposals/,false,false,false,closed,A,新增 operator-only typed 队列 API以保留 Classic 的四类筛选且不暴露给普通用户。,ai-ops.terminal,agent-runtime.operator-proposal-list,,M3-agent-runtime-operator-w38,redirect_to_tui,/tui/?screen=ai-ops.terminal&action=agent-runtime.operator-proposal-list,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_agent_runtime_operator_workflows_follow_operator_group_visibility,tests/component/test_agent_runtime_m4_dashboard.py,live-server filter/empty-state UAT pending,complete,instrumented_awaiting_14d_production_samples,migrated,agent_runtime,Codex M3 review,2026-07-26,,apps/agent_runtime/interface/page_views.py:94
apps/agent_runtime/templates/agent_runtime/operator_task_detail.html,agent_runtime/operator_task_detail.html,route_page,agent_runtime,6732ddb819ed13a469966cf3be09829137dc07f21dae03661e40c1dab27f9ef0,agent_runtime_pages:task_detail,/settings/agent-runtime/tasks/<int:task_id>/,apps.agent_runtime.interface.page_views.operator_task_detail_view,GET,apps/agent_runtime/templates/agent_runtime/operator_task_detail.html,base.html,agent_runtime/_operator_styles.html;agent_runtime/_summary_cards.html;components/classic_tui_migration_banner.html,,,,调查任务时间线、提案、guardrail 与执行记录,operator,true,staff_or_operator,none_detected,,false,false,false,none_detected,A,复用既有 operator dashboard 详情 API并保留完整调查证据。,ai-ops.terminal,agent-runtime.operator-task-detail,,M3-agent-runtime-operator-w38,redirect_to_tui,/tui/?screen=ai-ops.terminal&action=agent-runtime.operator-task-detail,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_agent_runtime_operator_workflows_follow_operator_group_visibility,tests/component/test_agent_runtime_m4_dashboard.py,live-server detail/not-found UAT pending,complete,instrumented_awaiting_14d_production_samples,migrated,agent_runtime,Codex M3 review,2026-07-26,,apps/agent_runtime/interface/page_views.py:76
apps/agent_runtime/templates/agent_runtime/operator_task_list.html,agent_runtime/operator_task_list.html,route_page,agent_runtime,821fdcd6f59f67dfbf8e503cacc83e40bf178dad1aa3b08eb085e46776e14f82,agent_runtime_pages:task_list,/settings/agent-runtime/,apps.agent_runtime.interface.page_views.operator_task_list_view,GET,apps/agent_runtime/templates/agent_runtime/operator_task_list.html,base.html,agent_runtime/_operator_styles.html;agent_runtime/_summary_cards.html;components/classic_tui_migration_banner.html,,,,查看智能任务治理总览并筛选跨用户任务队列,operator,true,staff_or_operator,none_detected,/api/agent-runtime/dashboard/summary/,false,false,false,closed,A,新增 operator-only typed 任务队列 API以保留状态、任务域、搜索与 attention 筛选。,ai-ops.terminal,agent-runtime.operator-summary;agent-runtime.operator-task-list,,M3-agent-runtime-operator-w38,redirect_to_tui,/tui/?screen=ai-ops.terminal&action=agent-runtime.operator-task-list,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_agent_runtime_operator_workflows_follow_operator_group_visibility,tests/component/test_agent_runtime_m4_dashboard.py,M5 browser UAT: operator empty-state + role-denial passed; full filter/attention remains pending,complete,instrumented_awaiting_14d_production_samples,migrated,agent_runtime,Codex M3 review,2026-07-26,,apps/agent_runtime/interface/page_views.py:66
apps/alpha/templates/alpha/ops/_tabs.html,alpha/ops/_tabs.html,partial_component,alpha,b64c6c92740bf81ffb74886486c3b1d1fe64821be4d4675dfe353444d7551ca8,,,,unknown,apps/alpha/templates/alpha/ops/_tabs.html,,,apps/alpha/templates/alpha/ops/inference.html;apps/alpha/templates/alpha/ops/qlib_data.html,,,,authenticated,true,alpha.backend_authorization,none_detected,,false,false,false,not_applicable,A,随两个 Alpha Classic 运维消费者在 M5 清理；不作为独立 TUI 用户任务。,research.signals,,,M5,remove_with_consumer,,,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,,,,not_applicable,,backlog,alpha,Codex M3 review,2026-07-26,,Classic shared tabs partial
apps/alpha/templates/alpha/ops/inference.html,alpha/ops/inference.html,route_page,alpha,cb82444c6119880dcb9ef9672103a0ba1a97037dd92057b35c240d9dbe5ecc3e,alpha:ops-inference,/alpha/ops/inference/,apps.alpha.interface.views.alpha_ops_inference_page,GET,apps/alpha/templates/alpha/ops/inference.html,base.html,alpha/ops/_tabs.html,,css/admin-shell.css,,alpha: inference,authenticated,true,alpha.backend_authorization,none_detected,/api/alpha/ops/inference/trigger/,true,true,false,closed,A,staff 读取概览与 superuser 三种异步推理模式已在 TUI 闭环。,research.signals,auto.api.get.api.alpha.ops.inference.overview;alpha.inference.trigger_general;alpha.inference.trigger_portfolio;alpha.inference.trigger_batch,,M3-alpha-ops-w27,redirect_to_tui,/tui/?screen=research.signals&action=auto.api.get.api.alpha.ops.inference.overview,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_alpha_ops_publish_all_curated_admin_modes,tests/api/test_alpha_ops_api.py,live-server UAT pending,complete,instrumented_awaiting_14d_production_samples,migrated,alpha,Codex M3 review,2026-07-26,,apps/alpha/interface/views.py:108
apps/alpha/templates/alpha/ops/qlib_data.html,alpha/ops/qlib_data.html,route_page,alpha,4f0672f9d7f810ad573ae808248fff1fb03dda4f918ef644ce6734f12b4591c6,alpha:ops-qlib-data,/alpha/ops/qlib-data/,apps.alpha.interface.views.alpha_ops_qlib_data_page,GET,apps/alpha/templates/alpha/ops/qlib_data.html,base.html,alpha/ops/_tabs.html,,css/admin-shell.css,,alpha: qlib data,authenticated,true,alpha.backend_authorization,none_detected,/api/alpha/ops/qlib-data/refresh/,true,true,false,closed,A,staff 读取概览与 superuser 两种 Qlib 数据刷新模式已在 TUI 闭环。,research.signals,auto.api.get.api.alpha.ops.qlib-data.overview;alpha.qlib_data_refresh_universes;alpha.qlib_data_refresh,,M3-alpha-ops-w27,redirect_to_tui,/tui/?screen=research.signals&action=auto.api.get.api.alpha.ops.qlib-data.overview,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_alpha_ops_publish_all_curated_admin_modes,tests/api/test_alpha_ops_api.py,live-server UAT pending,complete,instrumented_awaiting_14d_production_samples,migrated,alpha,Codex M3 review,2026-07-26,,apps/alpha/interface/views.py:128
apps/alpha_trigger/templates/alpha_trigger/candidate_detail.html,alpha_trigger/candidate_detail.html,route_page,alpha_trigger,127fb9010f5c3993442fb91c2ce5b9879202ec1cb30cf3086d292aa3c4b05580,alpha_trigger:candidate_detail,/alpha-triggers/candidates/<str:candidate_id>/,apps.alpha_trigger.interface.views.alpha_candidate_detail_view,GET,apps/alpha_trigger/templates/alpha_trigger/candidate_detail.html,base.html,,,,,复核 Alpha 候选的风险、收益与执行跟踪,authenticated,true,login_required,none_detected,,true,false,false,closed_existing_owner_api,A,适合通过既有 JSON API 迁入 TUI。,research.signals,alpha-trigger.candidate-detail,actionable-candidates,M2-alpha-trigger-read-w17,retain,/tui/?screen=research.signals&action=alpha-trigger.candidate-detail,f05399dde14d93671e61e2c7ecf7b759acd4bfd5,e734b1c6ad07ac15148d8ff1bb018f3ef6de58d84fec42e45c488705e12973f9,schema=tui-metadata.v3;runtime=agomtui-runtime-0.2.0+9fdceb2691de;ia=2026-07-21,tests/unit/test_tui_workbench.py::test_tui_alpha_trigger_reads_publish_actionable_and_invalidation_first_contracts,tests/api/test_alpha_trigger_api_edges.py,frontend/tui-workbench/tests/workbench-browser.test.mjs (row detail/deep-link),complete,Authenticated candidate detail keeps risk zones and execution tracking,migrated,alpha_trigger,Codex M2 wave review,2026-07-26,,Classic page retained with exact TUI action and row-backed candidate ID.
